forum.citicsinfo.com          	10.23.161.72
info.citicsinfo.com           	118.192.134.194
maven.citicsinfo.com          	10.23.120.181
mail.citicsinfo.com           	10.23.161.47
library.citicsinfo.com        	10.23.131.123
archive.citicsinfo.com        	10.23.131.135
mobile.citicsinfo.com         	118.192.134.192
mobile.bjsdns.citicsinfo.com  	118.192.134.192
pass.citicsinfo.com           	124.207.9.176
pass.bjsdns.citicsinfo.com    	118.192.134.176
helpdesk.citicsinfo.com       	10.23.153.207
research.citicsinfo.com       	118.192.134.73
research.bjsdns.citicsinfo.com	118.192.134.73
ldap.citicsinfo.com           	10.23.132.173
project.citicsinfo.com        	10.23.118.111
remote.citicsinfo.com         	118.192.134.172
remote.bjsdns.citicsinfo.com  	118.192.134.172
post.citicsinfo.com           	10.23.131.11
citrix.citicsinfo.com         	114.251.228.196
www2.citicsinfo.com           	10.23.161.66
brisk.citicsinfo.com          	172.22.131.24
cats.citicsinfo.com           	202.108.253.129
ccms.citicsinfo.com           	172.22.137.160
ccrs.citicsinfo.com           	172.22.157.215
channel.citicsinfo.com        	118.192.134.79
channel.bjsdns.citicsinfo.com 	124.207.9.79
clear.citicsinfo.com          	172.22.144.68
history.citicsinfo.com        	118.192.134.82
history.bjsdns.citicsinfo.com 	118.192.134.82
iras.citicsinfo.com           	10.23.130.146
kong.citicsinfo.com           	175.188.163.53, 211.161.83.26
smtp.citicsinfo.com           	10.23.161.55
imss.citicsinfo.com           	114.251.228.216
www6.citicsinfo.com           	111.13.112.13
jira.citicsinfo.com           	10.23.163.85
weixin.citicsinfo.com         	111.13.112.9
redmine.citicsinfo.com        	10.23.153.104
piwik.citicsinfo.com          	118.192.134.177
piwik.bjsdns.citicsinfo.com   	118.192.134.177
1234.citicsinfo.com           	10.22.65.132
bf.citicsinfo.com             	10.23.114.242
bw.citicsinfo.com             	118.192.134.157
bw.bjsdns.citicsinfo.com      	124.207.9.157
weixin.bjalteon.citicsinfo.com	111.13.112.9
ds.citicsinfo.com             	118.192.134.214
em.citicsinfo.com             	10.23.132.122
ff.citicsinfo.com             	10.23.114.242
ib.citicsinfo.com             	10.23.132.141
hr.citicsinfo.com             	10.23.131.18
ir.citicsinfo.com             	172.22.133.50
kh.citicsinfo.com             	180.153.18.144, 202.108.253.132
kk.citicsinfo.com             	124.207.9.84
km.citicsinfo.com             	172.22.157.210
lc.citicsinfo.com             	10.23.132.41
mp.citicsinfo.com             	10.23.132.51
pb.citicsinfo.com             	10.23.131.46
qy.citicsinfo.com             	118.192.134.77
rp.citicsinfo.com             	10.23.161.196
qy.bjsdns.citicsinfo.com      	118.192.134.77
st.citicsinfo.com             	10.23.132.153
vp.citicsinfo.com             	10.23.117.50
w3.citicsinfo.com             	10.23.132.59
168.citicsinfo.com            	172.22.144.82
ap8.citicsinfo.com            	10.23.131.53
bia.citicsinfo.com            	10.23.132.125
bmm.citicsinfo.com            	114.251.228.208
bms.citicsinfo.com            	118.192.134.113
bms.bjsdns.citicsinfo.com     	118.192.134.113
bpm.citicsinfo.com            	172.22.144.72
cgt.citicsinfo.com            	10.23.163.51
cms.citicsinfo.com            	10.23.131.166
crm.citicsinfo.com            	10.23.137.30
dns.citicsinfo.com            	118.192.134.206, 124.207.9.206
edm.citicsinfo.com            	10.23.130.100
ehr.citicsinfo.com            	10.23.132.17
esb.citicsinfo.com            	10.23.130.200
fcm.citicsinfo.com            	172.23.6.71, 172.23.6.73
fxq.citicsinfo.com            	172.22.130.192
ioa.citicsinfo.com            	10.23.132.36
ir2.citicsinfo.com            	172.22.133.70
kk6.citicsinfo.com            	111.13.112.12
kvm.citicsinfo.com            	10.22.65.15
law.citicsinfo.com            	10.23.132.112
log.citicsinfo.com            	10.22.65.155
mkh.citicsinfo.com            	118.192.134.116
mkh.bjsdns.citicsinfo.com     	118.192.134.116
mot.citicsinfo.com            	10.23.130.61
ncm.citicsinfo.com            	172.22.131.131
ntp.citicsinfo.com            	10.23.132.71
otc.citicsinfo.com            	10.23.156.7
pan.citicsinfo.com            	10.23.153.245
pif.citicsinfo.com            	10.23.132.66
rcp.citicsinfo.com            	172.22.144.103
rp2.citicsinfo.com            	10.23.161.197
tim.citicsinfo.com            	10.23.132.60
vsp.citicsinfo.com            	124.207.9.141
vsp.bjsdns.citicsinfo.com     	118.192.134.141
w3a.citicsinfo.com            	10.23.132.29
w3b.citicsinfo.com            	10.23.132.30
wms.citicsinfo.com            	10.23.132.72
www.citicsinfo.com            	111.13.112.13
vbp.citicsinfo.com            	114.251.228.117
